date,food name
2021-07-07,brinjal in hot bean sauc
2021-07-07,bread sotong ball
2021-07-07,abc soup
2021-07-07,abc 
2021-07-07,roast honey chicken wing
2021-07-07,kai lan with oyster sauc
2021-07-07,sambal egg
2021-07-07,kau kee fish ball soup
2021-07-07,marmit chicken
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,old cucumb soup
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,black pepper fish fillet
2021-07-07,green vege
2021-07-07,steam beancurd with minc meat
2021-07-07,tomato egg drop soup
2021-07-07,brais chicken with mushroom and black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,tomato egg drop soup
2021-07-07,brais pork belli
2021-07-07,green vege
2021-07-07,handmad ngoh hiang
2021-07-07,chicken feet & peanut soup
2021-07-07,teochew steam fish
2021-07-07,green vege
2021-07-07,fu rong egg
2021-07-07,chicken feet & peanut soup
2021-07-07,steam fish with coriand lime sauc
2021-07-07,green vege
2021-07-07,thai fish cake
2021-07-07,tom yam chicken soup
2021-07-07,brais chicken with potato
2021-07-07,green vege
2021-07-07,golden fri beancurd with thai chili
2021-07-07,tom yam chicken soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,chaipo egg
2021-07-07,bak kut teh
2021-07-07,marmit chicken
2021-07-07,hainanes pork cutlet
2021-07-07,green vege
2021-07-07,sambal hard boil egg
2021-07-07,bak kut teh
2021-07-07,salt & pepper chicken
2021-07-07,green vege
2021-07-07,steam egg with minc meat
2021-07-07,kimchi chicken soup
2021-07-07,crispi fri fish in ginger soy sauc
2021-07-07,green vege
2021-07-07,golden fri potato wedg
2021-07-07,kimchi chicken soup
2021-07-07,stir fri chicken with trio capsicum
2021-07-07,green vege
2021-07-07,hotdog with french fri in tomato past
2021-07-07,fuzhou fish ball soup
2021-07-07,stir fri curri slice pork
2021-07-07,green vege
2021-07-07,brais beancurd with mix veget
2021-07-07,fuzhou fish ball soup
2021-07-07,ferment pork
2021-07-07,green vege
2021-07-07,shred turnip with dri shrimp
2021-07-07,white fungu with peanut chicken soup
2021-07-07,san bei chicken
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,white fungu with peanut chicken soup
2021-07-07,chaipo with steam fish
2021-07-07,green vege
2021-07-07,sweet & sour fishbal
2021-07-07,pumpkin soup
2021-07-07,golden fri chicken with lemon sauc
2021-07-07,green vege
2021-07-07,brais fishbal with potato
2021-07-07,pumpkin soup
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,old cucumb soup
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,stir-fri black pepper pork
2021-07-07,green vege
2021-07-07,golden fri gyoza
2021-07-07,huai shan chicken soup
2021-07-07,steam chicken with ginger & wolfberri
2021-07-07,green vege
2021-07-07,steam beancurd with chaipo
2021-07-07,huai shan chicken soup
2021-07-07,stir fri huai shan with shred pork
2021-07-07,green vege
2021-07-07,bread scallop
2021-07-07,watercress soup
2021-07-07,curri chicken
2021-07-07,green vege
2021-07-07,stir fri potato with shrimp
2021-07-07,watercress soup
2021-07-07,bbq chicken
2021-07-07,green vege
2021-07-07,ham & mushroom egg
2021-07-07,minestron soup
2021-07-07,sweet & sour fish
2021-07-07,green vege
2021-07-07,brais egg tofu with minc meat
2021-07-07,minestron soup
2021-07-07,brais prawn with potato
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,green vege
2021-07-07,stir fri minc pork with potato cube
2021-07-07,green papaya chicken broth soup
2021-07-07,roast chicken
2021-07-07,green vege
2021-07-07,steam beancurd with crab bite
2021-07-07,green papaya chicken broth soup
2021-07-07,prawn past chicken
2021-07-07,green vege
2021-07-07,fishbal with capsicum in tomato past
2021-07-07,clear chicken soup with mushroom
2021-07-07,bake fish with sambal
2021-07-07,green vege
2021-07-07,chines steam egg
2021-07-07,clear chicken soup with mushroom
2021-07-07,stir fri pork with spring onion & ginger
2021-07-07,green vege
2021-07-07,golden fri shrimp
2021-07-07,bittergourd with egg soup
2021-07-07,poach hainanes white chicken
2021-07-07,green vege
2021-07-07,brais root veget
2021-07-07,bittergourd with egg soup
2021-07-07,golden fri fish with tartar sauc
2021-07-07,green vege
2021-07-07,long bean egg
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,black pepper fish fillet
2021-07-07,green vege
2021-07-07,steam beancurd with minc meat
2021-07-07,tomato egg drop soup
2021-07-07,brais chicken with mushroom and black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,tomato egg drop soup
2021-07-07,brais pork belli
2021-07-07,green vege
2021-07-07,handmad ngoh hiang
2021-07-07,chicken feet & peanut soup
2021-07-07,teochew steam fish
2021-07-07,green vege
2021-07-07,fu rong egg
2021-07-07,chicken feet & peanut soup
2021-07-07,steam fish with coriand lime sauc
2021-07-07,green vege
2021-07-07,thai fish cake
2021-07-07,tom yam chicken soup
2021-07-07,brais chicken with potato
2021-07-07,green vege
2021-07-07,golden fri beancurd with thai chili
2021-07-07,tom yam chicken soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,chaipo egg
2021-07-07,marmit chicken
2021-07-07,marmit chicken
2021-07-07,marmit chicken
2021-07-07,marmit chicken
2021-07-07,beancurd with meatbal soup
2021-07-07,sichuan veget with shred pork
2021-07-07,green vege
2021-07-07,chef special salad you tiao
2021-07-07,beancurd with meatbal soup
2021-07-07,stir fri pork slice with black fungu
2021-07-07,green vege
2021-07-07,potato with tomato bake bean
2021-07-07,cabbag with fishbal soup
2021-07-07,teriyaki glaze chicken
2021-07-07,green vege
2021-07-07,brais beancurd with mix veget
2021-07-07,cabbag with fishbal soup
2021-07-07,celeri stir fri fish
2021-07-07,green vege
2021-07-07,tomato egg
2021-07-07,seawe soup with fishbal
2021-07-07,steam chicken with black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,seawe soup with fishbal
2021-07-07,bak kut teh
2021-07-07,hainanes pork cutlet
2021-07-07,green vege
2021-07-07,sambal hard boil egg
2021-07-07,bak kut teh
2021-07-07,salt & pepper chicken
2021-07-07,green vege
2021-07-07,steam egg with minc meat
2021-07-07,kimchi chicken soup
2021-07-07,crispi fri fish in ginger soy sauc
2021-07-07,green vege
2021-07-07,golden fri potato wedg
2021-07-07,kimchi chicken soup
2021-07-07,stir fri chicken with trio capsicum
2021-07-07,green vege
2021-07-07,hotdog with french fri in tomato past
2021-07-07,fuzhou fish ball soup
2021-07-07,stir fri curri slice pork
2021-07-07,green vege
2021-07-07,brais beancurd with mix veget
2021-07-07,fuzhou fish ball soup
2021-07-07,ferment pork
2021-07-07,green vege
2021-07-07,shred turnip with dri shrimp
2021-07-07,white fungu with peanut chicken soup
2021-07-07,san bei chicken
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,white fungu with peanut chicken soup
2021-07-07,chaipo with steam fish
2021-07-07,green vege
2021-07-07,sweet & sour fishbal
2021-07-07,pumpkin soup
2021-07-07,golden fri chicken with lemon sauc
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,old cucumb soup
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,old cucumb soup
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,old cucumb soup
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,black bean chicken feet soup
2021-07-07,brais chicken with bitter gourd
2021-07-07,green vege
2021-07-07,sambal fishbal
2021-07-07,green vege
2021-07-07,brais fishbal with potato
2021-07-07,pumpkin soup
2021-07-07,stir-fri black pepper pork
2021-07-07,green vege
2021-07-07,golden fri gyoza
2021-07-07,huai shan chicken soup
2021-07-07,steam chicken with ginger & wolfberri
2021-07-07,green vege
2021-07-07,steam beancurd with chaipo
2021-07-07,huai shan chicken soup
2021-07-07,stir fri huai shan with shred pork
2021-07-07,green vege
2021-07-07,bread scallop
2021-07-07,watercress soup
2021-07-07,curri chicken
2021-07-07,green vege
2021-07-07,stir fri potato with shrimp
2021-07-07,watercress soup
2021-07-07,bbq chicken
2021-07-07,green vege
2021-07-07,ham & mushroom egg
2021-07-07,minestron soup
2021-07-07,sweet & sour fish
2021-07-07,green vege
2021-07-07,brais egg tofu with minc meat
2021-07-07,minestron soup
2021-07-07,brais prawn with potato
2021-07-07,green vege
2021-07-07,stir fri minc pork with potato cube
2021-07-07,green papaya chicken broth soup
2021-07-07,roast chicken
2021-07-07,green vege
2021-07-07,steam beancurd with crab bite
2021-07-07,green papaya chicken broth soup
2021-07-07,prawn past chicken
2021-07-07,green vege
2021-07-07,fishbal with capsicum in tomato past
2021-07-07,clear chicken soup with mushroom
2021-07-07,marmit chicken
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,black pepper fish fillet
2021-07-07,green vege
2021-07-07,steam beancurd with minc meat
2021-07-07,tomato egg drop soup
2021-07-07,brais chicken with mushroom and black fungu
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,black pepper fish fillet
2021-07-07,green vege
2021-07-07,steam beancurd with minc meat
2021-07-07,tomato egg drop soup
2021-07-07,brais chicken with mushroom and black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,black pepper fish fillet
2021-07-07,green vege
2021-07-07,steam beancurd with minc meat
2021-07-07,tomato egg drop soup
2021-07-07,brais chicken with mushroom and black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,tomato egg drop soup
2021-07-07,brais pork belli
2021-07-07,green vege
2021-07-07,handmad ngoh hiang
2021-07-07,chicken feet & peanut soup
2021-07-07,teochew steam fish
2021-07-07,old cucumb soup
2021-07-07,salt egg fish
2021-07-07,green vege
2021-07-07,hotplat style beancurd
2021-07-07,old cucumb soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup
2021-07-07,brais chicken with mushroom & carrot
2021-07-07,green vege
2021-07-07,mock char siew egg
2021-07-07,salt veget with tofu soup
2021-07-07,brais duck
2021-07-07,green vege
2021-07-07,fri spring roll
2021-07-07,white radish soup
2021-07-07,brais mustard green with roast pork
2021-07-07,green vege
2021-07-07,pandan chicken
2021-07-07,white radish soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,minc meat with egg
2021-07-07,sze chuan veget soup
2021-07-07,gongpao chicken
2021-07-07,green vege
2021-07-07,crispi prawn roll
2021-07-07,sze chuan veget soup
2021-07-07,coffe pork
2021-07-07,green vege
2021-07-07,cereal beancurd
2021-07-07,dumpl soup
2021-07-07,black pepper chicken
2021-07-07,green vege
2021-07-07,bitter gound egg
2021-07-07,dumpl soup
2021-07-07,bake fish with sambal
2021-07-07,green vege
2021-07-07,chines steam egg
2021-07-07,clear chicken soup with mushroom
2021-07-07,stir fri pork with spring onion & ginger
2021-07-07,green vege
2021-07-07,golden fri shrimp
2021-07-07,bittergourd with egg soup
2021-07-07,poach hainanes white chicken
2021-07-07,green vege
2021-07-07,brais root veget
2021-07-07,bittergourd with egg soup
2021-07-07,golden fri fish with tartar sauc
2021-07-07,green vege
2021-07-07,long bean egg
2021-07-07,beancurd with meatbal soup
2021-07-07,sichuan veget with shred pork
2021-07-07,green vege
2021-07-07,chef special salad you tiao
2021-07-07,beancurd with meatbal soup
2021-07-07,stir fri pork slice with black fungu
2021-07-07,green vege
2021-07-07,potato with tomato bake bean
2021-07-07,cabbag with fishbal soup
2021-07-07,teriyaki glaze chicken
2021-07-07,green vege
2021-07-07,brais beancurd with mix veget
2021-07-07,cabbag with fishbal soup
2021-07-07,celeri stir fri fish
2021-07-07,green vege
2021-07-07,tomato egg
2021-07-07,seawe soup with fishbal
2021-07-07,steam chicken with black fungu
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,green vege
2021-07-07,seafood roll
2021-07-07,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti
2021-07-07,green vege
2021-07-07,tomato fri omlett
2021-07-07,yong tau foo soup
2021-07-07,stir-fri pork with ginger
2021-07-07,green vege
2021-07-07,steam 3 type egg
2021-07-07,chicken feet with peanut soup
2021-07-07,onion chicken
2021-07-07,green vege
2021-07-07,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup
2021-07-07,honey lemon fish
2021-07-07,green vege
2021-07-07,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup
2021-07-07,tom yum fish
2021-07-07,green vege
2021-07-07,golden fri wanton
2021-07-07,wintermelon chicken broth soup
2021-07-07,paper wrap chicken
2021-07-07,green vege
2021-07-07,tofu with shrimp
2021-07-07,black bean chicken feet soup
2021-07-07,basil minc pork
2021-07-07,green vege
2021-07-07,brais beancurd with tau kee
2021-07-07,green vege
2021-07-07,centuri egg tofu
2021-07-07,tomato egg drop soup
2021-07-07,brais pork belli
2021-07-07,green vege
2021-07-07,handmad ngoh hiang
2021-07-07,chicken feet & peanut soup
2021-07-07,teochew steam fish
2021-07-07,green vege
2021-07-07,fu rong egg
2021-07-07,chicken feet & peanut soup
2021-07-07,steam fish with coriand lime sauc
2021-07-07,green vege
2021-07-07,thai fish cake
2021-07-07,tom yam chicken soup
2021-07-07,brais chicken with potato
2021-07-07,green vege
2021-07-07,golden fri beancurd with thai chili
2021-07-07,tom yam chicken soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,chaipo egg
2021-07-07,bak kut teh
2021-07-07,hainanes pork cutlet
2021-07-07,green vege
2021-07-07,sambal hard boil egg
2021-07-07,bak kut teh
2021-07-07,salt & pepper chicken
2021-07-07,tomato egg drop soup
2021-07-07,brais pork belli
2021-07-07,green vege
2021-07-07,handmad ngoh hiang
2021-07-07,chicken feet & peanut soup
2021-07-07,teochew steam fish
2021-07-07,green vege
2021-07-07,fu rong egg
2021-07-07,chicken feet & peanut soup
2021-07-07,steam fish with coriand lime sauc
2021-07-07,green vege
2021-07-07,thai fish cake
2021-07-07,tom yam chicken soup
2021-07-07,brais chicken with potato
2021-07-07,green vege
2021-07-07,golden fri beancurd with thai chili
2021-07-07,tom yam chicken soup
2021-07-07,steam fish with black bean sauc
2021-07-07,green vege
2021-07-07,chaipo egg
2021-07-07,bak kut teh
2021-07-07,hainanes pork cutlet
2021-07-07,green vege
2021-07-07,sambal hard boil egg
2021-07-07,bak kut teh
2021-07-07,salt & pepper chicken
2021-07-07,green vege
2021-07-07,steam egg with minc meat
2021-07-07,kimchi chicken soup
2021-07-07,crispi fri fish in ginger soy sauc
2021-07-07,green vege
