date,food name,Ingredients,Nutrition,nutrition value,text
2021-07-07,indonesian ratatouil with tempeh,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","44 %,14 %,46 %,29 %,20 %,86 %,68 %,58 %,186 %,41 %,21 %,27 %,55 %,39 %,23 %,38 %",
2021-07-07,vietnamese-styl shrimp soup,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","29 %,9 %,11 %,7 %,5 %,17 %,113 %,30 %,11 %,9 %,20 %,11 %,13 %,24 %,10 %,46 %,6 %",
2021-07-07,sheer khurma,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","16 %,16 %,12 %,6 %,11 %,4 %,6 %,19 %,9 %,1 %,10 %,21 %,5 %,13 %,13 %,3 %,10 %",
2021-07-07,yaki mandu,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","11 %,4 %,2 %,9 %,8 %,9 %,9 %,23 %,6 %,3 %,5 %,2 %,7 %,4 %,3 %,10 %,11 %",
2021-07-07,kokub' mango chutney from pakistan,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,9 %,4 %,6 %,2 %,3 %,16 %,1 %,1 %,2 %,2 %,2 %,4 %",
2021-07-07,japanes ginger salad dress,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,1 %,2 %,28 %,13 %,2 %,12 %,1 %,2 %,2 %,1 %,13 %",
2021-07-07,japanes beef stir-fri,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","53 %,9 %,10 %,12 %,10 %,13 %,71 %,80 %,44 %,111 %,23 %,9 %,22 %,16 %,16 %,51 %,21 %",
2021-07-07,3-ingredi cheesecak,,"protein:,,,carbohydrates:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","8 %,3 %,17 %,32 %,27 %,6 %,7 %,3 %,5 %,3 %,2 %,2 %,3 %",
2021-07-07,authent chicken tikka masala,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","54 %,7 %,20 %,38 %,47 %,33 %,61 %,104 %,39 %,132 %,10 %,12 %,19 %,24 %,27 %,37 %,20 %",
2021-07-07,beef sukiyaki,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","69 %,15 %,21 %,39 %,27 %,20 %,109 %,101 %,37 %,18 %,21 %,41 %,50 %,33 %,27 %,118 %,30 %",
2021-07-07,tempura dip sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,","1 %,2 %,2 %,1 %,1 %,1 %,18 %",
2021-07-07,japanese-styl fluffi pancak,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","19 %,17 %,5 %,6 %,7 %,32 %,4 %,37 %,5 %,25 %,22 %,17 %,7 %,5 %,12 %,40 %",
2021-07-07,cream chees and crab sushi roll,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","21 %,26 %,6 %,13 %,24 %,10 %,9 %,47 %,13 %,3 %,56 %,6 %,25 %,15 %,6 %,59 %,55 %",
2021-07-07,microwav mochi,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,6 %,1 %,3 %,1 %,1 %,1 %",
2021-07-07,grill chicken teriyaki skewer with miso ranch,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","29 %,3 %,1 %,29 %,20 %,18 %,3 %,48 %,18 %,2 %,2 %,3 %,6 %,7 %,5 %,32 %",
2021-07-07,sushi roll,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","8 %,8 %,10 %,6 %,3 %,2 %,3 %,16 %,9 %,6 %,15 %,1 %,6 %,9 %,5 %,28 %,13 %",
2021-07-07,yum yum sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,30 %,17 %,4 %,3 %,1 %,9 %,6 %",
2021-07-07,coffe jelli,,"protein:,,,carbohydrates:,,,sugars:,,,niacin equivalents:,,,folate:,,,calcium:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","3 %,3 %,2 %,1 %,1 %,2 %",
2021-07-07,onigiri - japanes rice ball,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","29 %,51 %,25 %,5 %,3 %,2 %,86 %,24 %,1 %,117 %,6 %,51 %,23 %,5 %,6 %,117 %",
2021-07-07,air fryer chicken katsu with homemad katsu sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","64 %,13 %,1 %,10 %,10 %,53 %,8 %,127 %,35 %,9 %,5 %,4 %,10 %,13 %,11 %,47 %,10 %",
2021-07-07,miso and soy chilean sea bass,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","50 %,9 %,6 %,6 %,4 %,16 %,5 %,53 %,30 %,1 %,3 %,4 %,7 %,23 %,11 %,65 %,15 %",
2021-07-07,japanese-styl deep-fri shrimp,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","57 %,17 %,6 %,56 %,29 %,83 %,12 %,46 %,11 %,3 %,19 %,8 %,18 %,17 %,8 %,31 %,38 %",
2021-07-07,oyakodon (japanes chicken and egg rice bowl),,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","71 %,32 %,9 %,22 %,21 %,69 %,6 %,85 %,22 %,7 %,14 %,8 %,17 %,16 %,14 %,49 %,14 %",
2021-07-07,eel sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","3 %,8 %,1 %,6 %,1 %,1 %,2 %,3 %,1 %,48 %",
2021-07-07,homemad pickl ginger (gari),,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,1 %,1 %,1 %,6 %,2 %,1 %,3 %",
2021-07-07,chicken katsu,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","62 %,7 %,18 %,12 %,40 %,2 %,134 %,33 %,4 %,2 %,7 %,10 %,7 %,10 %,10 %",
2021-07-07,spici tuna roll,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","34 %,13 %,5 %,20 %,10 %,10 %,13 %,73 %,44 %,7 %,4 %,4 %,7 %,17 %,10 %,4 %,29 %",
2021-07-07,gyoza sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,1 %,1 %,1 %,3 %,1 %,1 %,1 %,1 %,1 %,11 %",
2021-07-07,famou japanes restaurant-styl salad dress,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,1 %,1 %,12 %,7 %,1 %,1 %,2 %,1 %,1 %,1 %,13 %",
2021-07-07,miso soup,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","11 %,2 %,4 %,4 %,2 %,2 %,11 %,2 %,2 %,4 %,6 %,9 %,5 %,21 %,7 %",
2021-07-07,perfect sushi rice,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","3 %,8 %,3 %,2 %,1 %,7 %,2 %,2 %,1 %,6 %",
2021-07-07,sesam sear tuna,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","88 %,4 %,9 %,32 %,15 %,26 %,2 %,198 %,97 %,2 %,6 %,21 %,24 %,56 %,25 %,42 %,82 %",
2021-07-07,easi mochi,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","6 %,16 %,5 %,7 %,1 %,10 %,1 %,4 %,5 %,1 %,3 %",
2021-07-07,japanes tamago egg,,"protein:,,,carbohydrates:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","9 %,1 %,6 %,6 %,41 %,3 %,8 %,3 %,4 %,2 %,3 %,2 %,2 %,4 %",
2021-07-07,beef kushiyaki,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","21 %,4 %,1 %,5 %,6 %,8 %,1 %,32 %,14 %,2 %,2 %,2 %,5 %,5 %,5 %,25 %",
2021-07-07,the perfect simplifi sushi vinegar,,"carbohydrates:,,,sugars:,,,calcium:,,,potassium:,,,sodium:,,","8 %,35 %",
2021-07-07,punjabi chicken in thick gravi,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","56 %,1 %,4 %,33 %,33 %,34 %,10 %,42 %,18 %,9 %,3 %,3 %,13 %,12 %,9 %,16 %,9 %",
2021-07-07,spongi japanes cheesecak,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","17 %,9 %,1 %,27 %,51 %,66 %,14 %,17 %,4 %,2 %,11 %,6 %,8 %,3 %,4 %,7 %,13 %",
2021-07-07,two-ingredi naan,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","7 %,5 %,2 %,4 %,6 %,2 %,12 %,10 %,7 %,5 %,1 %,1 %,11 %,13 %",
2021-07-07,tandoori masala spice mix,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,1 %,6 %,1 %,1 %,1 %,1 %,3 %,7 %,3 %,1 %",
2021-07-07,chef john' chicken tikka masala,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","67 %,6 %,20 %,74 %,135 %,41 %,34 %,119 %,42 %,30 %,11 %,10 %,41 %,38 %,28 %,53 %,21 %",
2021-07-07,okonomiyaki (japanes pancake),,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","31 %,11 %,14 %,23 %,25 %,43 %,9 %,49 %,17 %,60 %,30 %,13 %,18 %,13 %,10 %,35 %,44 %",
2021-07-07,japanes devil egg,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","7 %,1 %,1 %,12 %,8 %,32 %,3 %,7 %,5 %,3 %,2 %,4 %,3 %,1 %,5 %",
2021-07-07,chef doug' chicken tikka,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","104 %,7 %,17 %,54 %,82 %,70 %,40 %,252 %,75 %,36 %,8 %,12 %,26 %,31 %,33 %,54 %,26 %",
2021-07-07,chana masala (savori indian chick peas),,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","19 %,15 %,40 %,35 %,16 %,25 %,20 %,62 %,126 %,31 %,10 %,18 %,25 %,18 %,21 %,14 %",
2021-07-07,red lentil curri,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","24 %,11 %,45 %,4 %,2 %,8 %,30 %,21 %,14 %,57 %,4 %,31 %,22 %,20 %,23 %,25 %",
2021-07-07,chicken saag,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","78 %,6 %,25 %,39 %,42 %,38 %,300 %,152 %,64 %,90 %,80 %,24 %,39 %,61 %,41 %,29 %,28 %",
2021-07-07,mulligatawni soup i,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","14 %,4 %,5 %,24 %,48 %,21 %,46 %,31 %,11 %,5 %,9 %,4 %,6 %,6 %,5 %,29 %,10 %",
2021-07-07,curri stand chicken tikka masala sauc,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","36 %,4 %,9 %,36 %,63 %,35 %,30 %,68 %,23 %,15 %,5 %,7 %,13 %,13 %,13 %,39 %,11 %",
2021-07-07,chicken makhani (indian butter chicken),,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","47 %,5 %,9 %,43 %,57 %,36 %,24 %,73 %,23 %,19 %,6 %,14 %,17 %,18 %,18 %,21 %,14 %",
2021-07-07,indian chapati bread,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","6 %,6 %,7 %,5 %,2 %,17 %,7 %,1 %,6 %,7 %,2 %,9 %,15 %",
2021-07-07,authent saag paneer,,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","34 %,6 %,21 %,31 %,30 %,10 %,332 %,37 %,30 %,181 %,87 %,37 %,90 %,74 %,33 %,19 %,19 %",
